Geneid,Length,KO_PBS_642,KO_PBS_641,KO_PBS_638,KO_LPS_600,KO_LPS_194,KO_LPS_193,Control_PBS_175,Control_PBS_171,Control_PBS_170,Control_LPS_185,Control_LPS_184,Control_LPS_149
ENSMUSG00000097976,728,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106491,3284,0,0,0,0,2,0,4,0,0,0,1,7
ENSMUSG00000105485,2903,0,0,0,0,0,0,0,0,0,0,0,8
ENSMUSG00000104625,2644,0,0,0,0,0,0,0,0,0.67,0,0,2
ENSMUSG00000106048,4558,0,0,0,0,0,0,0,0,0,0,3,1
ENSMUSG00000106411,2893,0,0,0.25,0.25,1,0.75,0,0,6.5,0,0,0
ENSMUSG00000105578,1505,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000098233,1258,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000105571,2271,0,0,0,4,0,0,0,0,0,0,1,1
ENSMUSG00000104672,1659,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033219,1284,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000091255,1603,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000072188,1215,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000091897,1162,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106004,1887,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099762,1212,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000094230,1804,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106445,1167,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000105300,512,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000096878,1141,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000070933,1318,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000069720,1169,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000089871,1083,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000073208,1194,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106083,617,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000105515,1181,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000105185,1098,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000105916,409,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000105310,244,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000096936,1455,0,0,0,3,0,0,0,0,0,0,4,17
ENSMUSG00000040118,12416,2,0,2,5,28,43,1,3,0,21,48,60
ENSMUSG00000104886,3343,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000105526,2652,0,0,0,0,5,0,0,0,0,0,0,0
ENSMUSG00000106177,784,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097941,1019,4,0,8,2,2,5,0,2,0,5,2,2
ENSMUSG00000028864,7186,252,177,235.5,188.5,318.5,493,245.5,6,5,230.5,283,303.5
ENSMUSG00000106339,993,0,7,8.5,9.5,4.5,20,3.5,0,0,17.5,33,18.5
ENSMUSG00000105660,1491,0,0,10,0,3,2,0,0,0,0,0,7
ENSMUSG00000059179,1075,11.01,0.7,3.44,7.19,5.79,9.7,3.51,4.08,4.36,6.99,6.12,4.73
ENSMUSG00000109903,2987,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099854,489,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000105706,253,12.5,4,6.5,3,5,10,14,0.5,6,6.5,4,2
ENSMUSG00000091273,700,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000091827,1278,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000090750,387,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000058643,1256,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106358,1063,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000028780,7140,10,5,4,3,3,9,1,11,1,5,5,10
ENSMUSG00000002944,3590,248,128,125,193,150,278,4,7,19,15,17,10
ENSMUSG00000028777,1361,0,0,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000057614,3135,0,6,1,13,9,27,11,20,17,13,20,23
ENSMUSG00000104540,460,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104718,856,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000105930,598,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000089364,128,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106498,3123,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097626,2156,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106433,241,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000040003,11348,0,0,8,10,6,22.5,30.33,8,14,24,41,35
ENSMUSG00000106204,1669,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000088668,103,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000096882,104,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000077171,128,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106559,340,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000087768,100,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106240,305,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000073174,883,0,0,0,0,0,0.5,0,0,0,0,2,0
ENSMUSG00000105036,499,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000039987,6929,852,592,797,608,490,719,905,725,797,472,550,477
ENSMUSG00000082716,375,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000045435,3176,365,177,399,207,130,210,526,358,251,272,261,172
ENSMUSG00000039968,12676,2288,1299,2403,1539,1341.62,1774,2912,2253.5,2234,1663,1867,1826
ENSMUSG00000101013,5410,141,47,99,159,61,97,91,87,78,27,49,20
ENSMUSG00000028771,3509,377,205,335,1064,1034.5,1526,606,359,447,664,689,977
ENSMUSG00000106158,1333,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000087813,119,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000096269,374,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106116,1396,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106104,947,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000039934,10425,2887,1722,2399,4841,2676,3665,1310,1322,1620,1238,1330,1411
ENSMUSG00000104920,252,5,0,6,11,15,6,0,15,2,3,1,7
ENSMUSG00000105275,352,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064280,4371,4,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000039899,3788,5371,2919,4856,3571,3717,5052,511,359,277,805,824,618
ENSMUSG00000047221,3894,228,162,186,49,56,102,214,233,308,162,153,115
ENSMUSG00000048520,5439,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000039883,3608,0,0,0,0,0,2,0,0,0,0,0,0
ENSMUSG00000106135,808,68,35.83,50.5,100.08,71.17,83.08,50.42,43.53,50.33,47.67,44.95,40.25
ENSMUSG00000106294,501,16.5,7.5,35,28.5,16,17,16,26,38.5,26,18.5,26
ENSMUSG00000038525,3407,807,455,877,560,518.5,593.5,1739,943,766.5,788,825.5,589.5
ENSMUSG00000044968,3956,112,47,57,106,195,169,183,67,79,181,144,187
ENSMUSG00000081242,635,23.5,22,18.5,15.5,19.5,20,47.5,15,21.5,17,39,29
ENSMUSG00000029017,5141,942,638,1033,921,677,1000,1042,787,935,828,749,723
ENSMUSG00000083006,283,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000029014,5029,673.5,382,668,792.5,546,650.5,794.5,450.5,531.5,434.5,561,507
ENSMUSG00000028932,5031,1652,950,1345,1552,1213.25,1567.17,2099,1758,1576,1398,1491.11,1240
ENSMUSG00000029015,3072,0,2,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000042453,23738,18,14,3,32,46,116,23,35,19,63,75,102
ENSMUSG00000090008,285,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000073152,1796,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000090197,642,0,0,0,0,0,0,1,0,0,0.33,0,4
ENSMUSG00000105766,1893,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000089910,372,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000089793,382,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000090226,892,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000088578,114,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000105106,3833,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000065660,113,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000105081,226,38,38,55.33,25,25,44.67,90.83,36.5,57.5,50,52.5,37
ENSMUSG00000029012,6166,614.5,364,538,250,258.5,419.5,981.5,612,602,516,455,432.5
ENSMUSG00000084235,489,52.5,35.5,55,27,39.33,52,64,56,43.5,63,27,41.5
ENSMUSG00000096346,107,0,0,0,2,0,0,0,0,0,0,0,0
ENSMUSG00000097207,7595,6,3,36,5.25,3.25,5,21,3.5,16,4,21,4
ENSMUSG00000105156,296,29.98,12.98,38.6,18.67,9.87,42.53,22.48,10.63,14.87,21,21.77,13.05
ENSMUSG00000081855,555,247.34,152.34,298.33,261.37,203.1,366.88,186.31,138.5,115.18,181.68,173.42,122.02
ENSMUSG00000092704,65,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106181,1159,24,24.5,45,70.5,70.5,103.5,71,26.5,26,79.5,103.5,96
ENSMUSG00000104913,1591,972.58,572.16,891.83,897.85,796.66,1307.16,489.05,530.16,584.23,537.16,604.83,463.25
ENSMUSG00000105076,6639,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000105029,93,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106379,3213,0,0,0,2,0,3,2,0,0,3,0,0
ENSMUSG00000094832,3073,0,0,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000105543,4734,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000060879,619,0.74,2.2,2.12,1.42,2.61,1.71,2.71,7.53,0.11,0.91,0.22,0.1
ENSMUSG00000104866,578,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000098903,46,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000105254,684,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000105091,124,0,0.5,0,0,0,0,0,0,0,3.5,0,0
ENSMUSG00000073147,5142,307,127,306,266.2,91,145,325,285,332,218,310,205
ENSMUSG00000106269,690,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104765,625,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000105042,781,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000029004,10444,4885,3118,4665,4361,3417,4026,7753,5285,5572,4335,4379,5014
ENSMUSG00000088170,330,0,0,0,0,0,0,0,7,0,0,0,0
ENSMUSG00000062604,13901,1229,807,1182,559,516,698,2110,957.5,1022.33,597,800.5,616
ENSMUSG00000088359,93,0,0,7,0,0,0,0,0,0,0,0,0
ENSMUSG00000105565,808,0,7,1,0,0,2,0,0,8,0,0.5,0
ENSMUSG00000105987,4479,1280.71,842.38,1247.38,1580.34,1245.61,1573.86,1173.66,615.01,638.22,876.47,849.89,884.4
ENSMUSG00000096832,71,0,0,0,0.5,0,0,0,0,0,0,0,3
ENSMUSG00000057541,8289,289.5,192.67,295.33,365.67,212.33,301,523.83,215.33,247.67,192,230.67,305
ENSMUSG00000028999,7404,685,395,588,528,302,510,852.17,501,625,521,454.25,425.67
ENSMUSG00000104569,884,6,18,14,13,3,18,20,8,5,1,6,15
ENSMUSG00000086697,2515,0,0,0,0.5,0.5,0.5,1,0,0,1,0,0
ENSMUSG00000065329,155,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000028998,1125,218,95.83,184.17,196.5,132.33,289.33,122,219.67,101,119,111,116
ENSMUSG00000097180,1594,48.7,22.5,32.5,76.35,50.5,23.4,58.5,31,18,44.3,22,30.5
ENSMUSG00000095205,71,0,6,0,3.5,0,2,2,0,0,0,5,2
ENSMUSG00000028995,10117,1254,707,1321,694,661,1104,2286,1548,1631,1790,1843,1635
ENSMUSG00000105866,526,71.63,31.08,57.68,48.65,38.57,79.4,34.88,35.02,29.57,34.83,28.15,32.52
ENSMUSG00000106118,485,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000028986,3959,2047,1057,1614,1020,1176,1424,2288,2292,1784,1656,1504,1461
ENSMUSG00000106133,349,148.5,108.42,193.66,119.67,113,153.33,92.67,175.17,132.83,144.58,175.66,176.67
ENSMUSG00000106665,2595,84,105,119,55,44,97,120,95,126,97,106,127
ENSMUSG00000048439,3768,520.5,246,524,238,168.5,306,356.5,270,315.5,273.5,391,310.5
ENSMUSG00000099891,398,0.42,0.5,2.2,5.57,2.2,2.58,1.87,3,0,0.88,1.75,1.75
ENSMUSG00000105141,639,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000105713,1390,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000081071,216,48.62,23.52,37.25,36.6,27.98,56.61,45.75,36.12,30.86,47.09,38.21,31.2
ENSMUSG00000038319,4845,4,27,3,14,27,25,10,30,3,34,36,42
ENSMUSG00000086729,271,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000028978,4132,0,1,0,1,0,0,0,9,0,0,1,0
ENSMUSG00000086769,3759,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000038295,3946,5,0,2,0,0,1,0,0,1,0,0,0
ENSMUSG00000028973,4739,970,470,815,497,491,591,448,628,489,602,588,636
ENSMUSG00000038276,2423,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000028969,2168,411,196,380,205,140,256,379,290,290,176,200,261
ENSMUSG00000028962,8322,2428,1370,2391,2137,1605.33,2111,2595,2022,2150,1504,2025,1963
ENSMUSG00000028959,4372,1300,700,1188,770,529,748,1237,863,874,744,790,744
ENSMUSG00000088696,101,3,0,5,0,0,0,1,0,0,2,4,0
ENSMUSG00000028958,1879,290,160,254,153,156,191,446,292,312,279,240,204
ENSMUSG00000105858,582,0,0,0,0,0,0,0,0,15,0,0,0
ENSMUSG00000104190,2102,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000023353,5321,917,534,888,433,421,733,1867,1036,975,833,740,716
ENSMUSG00000067724,3475,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000038204,2806,300,205,240,25,43,41,364,289,385,105,102,75
ENSMUSG00000038199,3374,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000028953,2569,1463.5,832,1347,1701.5,1225.33,1692,2197,1168.83,1271.17,1085.5,1047,1083
ENSMUSG00000067719,309,218.83,88.08,170.7,165.09,119.76,260.71,187.42,124.77,124.64,142.25,115.09,107.91
ENSMUSG00000038181,5588,3457.5,1809.5,3772,1838.5,1542.5,2306,3607.5,2382.83,2279.5,2382.5,2492,2124.5
ENSMUSG00000028949,5120,25,6,39,19,16,23,36,28,50,11,60,22
ENSMUSG00000076387,98,30.5,12.5,43,10.5,15.5,22,55.5,22.5,26.5,23.5,40,18.5
ENSMUSG00000038165,1448,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000028954,4319,2301,1254,2265,1570,1311,2052,4171,2366,1984,1800,1844,1706
ENSMUSG00000097275,5831,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000055235,5034,0,7,0,4,1,1,0,0,10,3,28,2
ENSMUSG00000038135,802,0,6,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000028945,7721,1376.5,718,1280,1248,1128,1668,1795,1177,1269,1452,1589,1417
ENSMUSG00000089475,245,11,0,8,10,5,16,2,0,0,11,23,6
ENSMUSG00000028944,6480,357,278,395,159,121,192,340,301,188,234,271,251
ENSMUSG00000087314,1432,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086446,991,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000059631,865,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000043833,2928,87,41,74,21,18,8,70,22,21,47,84,25
ENSMUSG00000105763,566,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000077832,93,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000028938,1627,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000088842,283,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000038072,6853,1379.14,718.7,1461.2,1028.4,686.5,1176,1762.06,999.75,992.32,1150.5,1348.9,1134.5
ENSMUSG00000054116,306,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000038056,20291,5336,3393,6229,4441,3137,3985,7919,5445,6406,4232,4886,4398
ENSMUSG00000106457,4020,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000092344,277,1.83,0.33,0.5,2.5,0,0.25,4,0,0,0,3.75,2.33
ENSMUSG00000092181,250,0,0,1,1.5,4,0,8,0,0,0,3,1
ENSMUSG00000092510,604,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097236,1028,11,0,6,1,0,0,3,0,0,0,0,0
ENSMUSG00000077387,171,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000038044,1961,0,0,0,0,0,0,4,0,0,0,0,0
ENSMUSG00000101856,1454,70,40,63,13,38,52,57,74,46,45,37,21
ENSMUSG00000105744,274,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000059244,1477,0,0,0,5,0,2,0,0,0,0,4,1
ENSMUSG00000106144,1467,0.33,0,0,0,0,0,0,0,0,0,0.12,0
ENSMUSG00000106241,2023,1,8,12,15,3,6,10,0,2,13,1,10
ENSMUSG00000028933,5216,197.5,134,128,89,86,133,228,176,183,112.5,136,133.83
ENSMUSG00000104549,361,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000056367,2425,80,59,84,20,41,45,6,11,3,6,5,23
ENSMUSG00000105052,2975,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104824,2864,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000095550,2421,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104651,1096,0,0,0,0,0,1,1,0,0.5,3.67,0.33,2
ENSMUSG00000106627,2975,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000096045,2996,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000091049,2026,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000090671,1009,0,1,2.5,14,9,6,2.5,1,0,8.17,4.83,14
ENSMUSG00000067700,1972,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000073119,2980,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000073117,2995,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000105422,938,0,0,0.5,1.5,2,7,0,0,0,3,7.5,2
ENSMUSG00000073116,2967,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000051940,2995,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000067698,2980,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000059645,2995,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000105786,1813,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000029044,1725,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000105491,112,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000061576,12347,23,31,16,70,62,140,42.14,31,18,128,113,113
ENSMUSG00000104733,406,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000080941,135,0.75,0,0.5,0.25,1.08,2.83,1.5,0.25,1.33,1.25,0.5,0
ENSMUSG00000081970,759,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000105946,2914,0,0,0,4,0,0,0,0,0,9,0,8
ENSMUSG00000106537,2596,0,0,0,6,0,0,0,0,0,0,0,8
ENSMUSG00000048703,2651,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086505,427,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000002221,10271,702,461.21,744,568.33,429.64,507,851.14,664.7,487,582,484,478
ENSMUSG00000105223,481,0.5,0,0.5,0,0,0,0.5,2.5,1,0,0.5,0
ENSMUSG00000105375,982,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000039106,5376,0,0,0,4,0,0,0,0,3,7,1,1
ENSMUSG00000104882,421,2.33,0.5,3,5.5,2.5,8.33,9.33,4.5,0,5,4,4.5
ENSMUSG00000106390,690,3,0,4.5,0.5,4,1.5,6.67,5.17,0,1,1.83,2
ENSMUSG00000104777,1309,17.67,2.33,17.33,19.92,16,29.25,22.67,22.67,21.17,22.33,20.17,26
ENSMUSG00000097673,2886,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106030,4352,0.33,0,0,2,0,0,0,0,0,0,0,0
ENSMUSG00000045294,3093,577,336.5,532.5,1065.17,819,1191,630,355.5,358.5,1071,1145.5,934.5
ENSMUSG00000039095,3539,0,3,0,4,15,26,0,7,6,10,19,16
ENSMUSG00000106160,365,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000044681,5864,11,4,0,2,24,24,5,0,0,14,65,47
ENSMUSG00000048271,12502,3757,2401,4336,2515,1459,2146,4831,3053,3696,2309,2735,2187
ENSMUSG00000002633,2847,0,0,0,0,0,0,0,0,0,0,1,2
ENSMUSG00000097726,3665,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097453,1134,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000105775,999,2.7,2.5,3.2,7,2.5,4.5,4,3.2,3,3,1,1.5
ENSMUSG00000104587,1688,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000029130,6761,0,0,0,0,2,1,0,0,0,0,7,10
ENSMUSG00000089975,842,0,0,0,0,0,0,0,0,0,0.33,0,0
ENSMUSG00000010721,5850,174,100,207,109,126,187,130,175,129,190,129,217
ENSMUSG00000105741,4296,30,17,3,4,6,24,14,16,37,6,8,4
ENSMUSG00000093302,67,0,0,0,0,0.29,0.86,0.29,0,0,0,0,0
ENSMUSG00000097561,3237,3,0,0,0,0,0,4,0,0,0.17,0,1
ENSMUSG00000001569,9232,725.14,477,673.25,1015.22,615.21,908.2,1133.32,776.92,722,798.1,797.5,730.49
ENSMUSG00000001566,2250,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000093875,107,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000078182,357,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000039000,9544,1689,1109,1668,1221,1144,1458,3007,1778,1780,1547.5,1639,1534
ENSMUSG00000104648,292,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000088150,329,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000105032,379,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000053121,300,0,0,0,0,2,0,4,0,0,0,0,0
ENSMUSG00000029131,6062,1083.53,705.23,1234.97,1531.09,1182.88,1620.53,1600.98,1194.75,1186.51,1183,1254.11,1133.95
ENSMUSG00000106558,515,8.83,4,12.5,6,2.33,8,16,12.33,8.5,1.5,2.33,3.83
ENSMUSG00000105999,688,2.5,0,8,10,10.5,20.5,2,8,7,18,39,18
ENSMUSG00000106551,1220,2,0,0,0.5,1,0.5,1.5,3.5,1,0,0,2.5
ENSMUSG00000105437,2644,0,0,1,1,0,0,0,0.2,0,0,0,0
ENSMUSG00000105926,4001,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000105439,466,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025746,2428,105,112,269,1126,612,912,98,75,128,330,386,681
ENSMUSG00000025747,6089,370,160.33,183,252,205.5,220.5,185.5,142,139,102.5,130,92.5
ENSMUSG00000104667,2249,36,33,28,47,86.5,68.5,26,82,29,80,62,68
ENSMUSG00000086815,767,0,0,0,3,0,0,0,7,0,0,0,0
ENSMUSG00000044576,3865,0,8,4,13,17,12,7,12,0,3,10,12
ENSMUSG00000025745,8730,3512,2376,3392,3043.67,2765,4115,2892,2991,3006,2791,3102,2942
ENSMUSG00000059447,6595,1270.83,825.67,1321.33,945.33,890,1193.5,1745.33,1421.5,1040.83,1117,1234,918.5
ENSMUSG00000088113,78,5,0,0,0,0,0,12,0,5,0,0,0
ENSMUSG00000067642,3285,0,0,0,7,2,5,3,0,0,0,0,0
ENSMUSG00000075703,13135,1070,762,1118,699,650,869,2172,1259,1150,811,921,896
ENSMUSG00000085099,367,102.53,55.5,128.4,89.28,74.9,133.73,84.95,56.48,45.95,49.5,66.95,46.7
ENSMUSG00000073102,2683,0,0,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000106311,408,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000062372,7904,0,0,3,6,0,3,7,0,0,9,1,4
ENSMUSG00000029182,1038,6,0,0,0,0,0,0,0,0,1,0,3
ENSMUSG00000053194,769,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000088327,107,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106300,3211,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000053214,6195,0,0,0,4,2,4,0,1,0,12,0,4
ENSMUSG00000049265,3976,2,8,0,5,21,41,9,2,0,25,36,14
ENSMUSG00000029175,8495,4110.5,2372,3751,5904.5,3841.5,5374.5,4925.5,2965.5,2891,2251.5,2455.5,2591
ENSMUSG00000093710,80,1.5,1,0,2.5,2.5,3.5,1.5,0.5,0,1.5,3.5,0
ENSMUSG00000029177,5860,460,212,285,115,124,127,161,47,135,31,55,44
ENSMUSG00000029168,7376,4,0,0,10,2,17,38,4,17,58,63,53
ENSMUSG00000106173,741,1.33,0.37,1.33,2.17,1.17,0.17,0.83,0,0.83,0.14,1.33,1.83
ENSMUSG00000029166,3459,255,131,236,117,100,165,249,178,202,178,217,155
ENSMUSG00000106229,2858,2,1,7,0,1,0,28,10,27,0,0,5
ENSMUSG00000087258,235,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000038828,7580,2635,1791,3085,2650,2204,3376,4587,3050,2904,2354,2453,2454
ENSMUSG00000107086,2065,0,0,0,0,0,0,0,0,0,2,0,0
ENSMUSG00000029165,7053,532,293,578,170,161,226,513,470,564,300,369,336
ENSMUSG00000107201,2281,86,12,12,9,8,10,22,18,18,7,5.2,13
ENSMUSG00000038803,1272,731.5,371,708,463,391.5,722.5,436,596.5,528,443.5,558.5,488.5
ENSMUSG00000029163,4937,110,122,107,78,106,133,140,54,143,95,94,132
ENSMUSG00000029162,1797,1065,531,1061,530,521,831,970,892,975,715,789,657
ENSMUSG00000029161,2082,10,0,0,1,0,7,8,0,0,0,10,0
ENSMUSG00000006638,1758,547,289,604,389,359,481,602,640,623,564,556,510
ENSMUSG00000045302,7209,2235,1235,2113,2064,1899,2431,3259,2398,2197,2582,2484,2814
ENSMUSG00000006642,4116,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000006641,3991,349.5,246,386.5,184,201.5,292.5,802,437.5,349,254,223,241
ENSMUSG00000013622,2082,2181,1441,2434,1175,1056,1733,3031,2347,2402.14,2029,1895,1443.17
ENSMUSG00000013629,8183,1688,1094,1880,1157,1073,1268,2046,1385,1413,1308,1289,1399
